name,latitude,longitude
Изгрев,42.1441,27.8013
Железари,43.0655,26.3112
Жидов дол,42.7788,24.8061
Лешко Пресои,42.8094,24.8057
Балабанчево,42.7842,26.7743
Попови ливади,41.5532,23.6421
Дебели Рът,43.005,25.994
Воловарово,42.2086,25.4028
Гращица,41.6516,24.6191
Четрока,41.7922,24.871
Острица,41.773,24.7268
Лъкавица,41.7969,24.8533
Крушово,41.7741,24.8663
Зорница,41.7632,24.6745
Кукувица,41.7023,24.6157
Сини връх,41.8517,24.9786
Бойновци,42.8541,25.2169
Врабците,42.8616,25.2077
Мечкул,41.8243,23.2032
Глоговица,42.7921,22.6684
Обел,41.9749,22.9102
Обретеник,43.5744,25.8164
Мощанец,41.967,23.0734
Гергевец,42.5917,26.3477
Прибой,43.1515,27.9371
Калипетрово,44.0692,27.238
Голема Раковица,42.6218,23.7983
Рогулят,42.9281,24.93
Байлово,42.6563,23.8193
Сливенски Минерални Бани,42.6125,26.234
Предела,42.7086,26.2647
Бяла,42.7302,26.1898
Бяла Паланка,42.7574,26.0999
Чинтулово,42.6457,26.2364
Гавраилово,42.6425,26.1814
Струпец,42.6189,26.1164
Селиминово,42.6435,26.1532
Елин Пелин,42.6671,23.6066
Горни Главанак,41.6759,25.825
Явор,42.8514,25.5268
Стръмци,42.8921,25.5776
Колишовци,42.9509,25.4085
Койчовци,42.8553,25.4869
Каленовци,42.9862,22.9535
Божаново,43.6194,28.4909
Бърля,43.0996,22.9834
Ропот,43.0384,22.9831
Смолча,43.0772,22.9816
Равна,43.046,23.0123
Травник,43.5952,28.2719
Остри пазлак,41.5605,24.8352
Дебеляново,41.6664,24.9829
Мрахори,42.9131,25.2748
Гайтаните,42.9078,25.2866
Думници,42.907,25.292
Дивеци,42.9081,25.2767
Врата,41.8617,24.9689
Майсторово,41.6916,25.581
Лисиците,41.6114,25.4527
Соколско,41.612,25.4447
Кърланово,41.5439,23.4167
Кашина,41.5471,23.4682
Раково,42.0812,22.7158
Рожен,41.5333,23.4342
Ново село,42.2032,22.681
Чеканец,42.1029,22.6509
Златолист,41.4948,23.4204
Любовище,41.5259,23.4433
Оризари,42.6612,25.9472
Мургаш,42.9852,23.002
Букоровци,42.992,22.9714
Пейна,43.004,25.4286
Гоздейка,43.0228,25.5025
Долна Маргатина,42.936,24.7899
Дисманица,42.9009,24.934
Кирово,42.1572,27.1874
Тракийци,42.1676,27.2516
Долно Ябълково,42.1335,27.1149
Върли бряг,42.4505,27.3949
Стругът,42.8612,24.7826
Станчов хан,42.8138,25.5618
Престой,42.8444,25.5086
Бахреци,42.8283,25.5313
Росеново,42.2915,27.228
Високите,41.5328,24.9441
Дървари,42.8555,25.5471
Ошаните,42.8549,25.5364
Фъртуни,42.8349,25.5418
Сливово,42.8378,25.5343
Милевци,42.8526,25.5158
Неновци,42.8389,25.5375
Горни Дамяновци,42.8155,25.5485
Руевци,42.8108,25.5385
Ябълковци,42.8556,25.5304
Креслювци,42.8011,25.5317
Саранци,42.724,23.7753
Николчовци,42.8491,25.9139
Нешевци,42.8723,25.9058
Цветкова Бара,43.1907,23.1958
Колю Ганев,42.8299,25.5006
Рашовица,43.2684,23.2364
Малуша,42.8118,25.2921
Стоманеците,42.8028,25.2932
Вълчовци,42.9426,25.8237
Илиювци,42.9099,25.7267
Ребревци,42.9062,25.7711
Багалевци,42.8933,25.8126
Попрусевци,42.9428,25.9811
